epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1431.96,0.88477,1.03711,1.32176,0.66233,0.6724,0.70542,0.47082,1.18642,1.13655,1.45344,0.000301694,0.000301694,0.000301694
2,5033.43,0.96866,1.08462,1.36959,0.6762,0.64662,0.69966,0.4579,1.24456,1.18631,1.48738,0.000544829,0.000544829,0.000544829
3,6639.49,1.0251,1.12275,1.43061,0.71252,0.6624,0.72825,0.48901,1.21667,1.15537,1.46667,0.000727971,0.000727971,0.000727971
4,7844.58,1.04325,1.11981,1.44192,0.68552,0.66989,0.71814,0.46909,1.24176,1.15137,1.48694,0.000639027,0.000639027,0.000639027
5,9201.13,1.01731,1.08117,1.42439,0.68792,0.67114,0.72923,0.45323,1.33645,1.19208,1.53052,0.000549036,0.000549036,0.000549036
6,10394.6,0.98727,1.04088,1.40419,0.67365,0.67538,0.70455,0.46862,1.19016,1.16261,1.44326,0.000459045,0.000459045,0.000459045
7,11609.7,0.93661,0.92274,1.35212,0.7311,0.69851,0.75164,0.51064,1.19833,1.05028,1.45104,0.000369054,0.000369054,0.000369054
8,12799,0.88195,0.84435,1.30448,0.76365,0.70696,0.77827,0.52827,1.19701,1.02413,1.44646,0.000279063,0.000279063,0.000279063
9,14027.8,0.87516,0.79989,1.288,0.77725,0.73111,0.78107,0.52557,1.19814,0.96732,1.4338,0.000189072,0.000189072,0.000189072
10,15198.5,0.82125,0.76763,1.2614,0.7771,0.75119,0.79993,0.53899,1.1997,0.91739,1.42492,9.9081e-05,9.9081e-05,9.9081e-05
