epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1543,1.35144,2.88521,1.57429,0.45425,0.40258,0.37282,0.19295,1.50175,2.75307,1.72532,0.000301722,0.000301722,0.000301722
2,2952.62,1.39666,2.32881,1.59033,0.35032,0.48602,0.42187,0.23737,1.56998,2.72495,1.78244,0.000584766,0.000584766,0.000584766
3,4206.36,1.41798,2.15186,1.59546,0.45347,0.46055,0.45636,0.24984,1.4592,2.13842,1.69386,0.000847812,0.000847812,0.000847812
4,5452.61,1.40147,2.13322,1.60407,0.61356,0.4142,0.50833,0.30677,1.5224,1.97203,1.73265,0.000819009,0.000819009,0.000819009
5,6819.77,1.3712,1.93365,1.55587,0.46365,0.58795,0.56306,0.31739,1.6016,1.74536,1.73051,0.000789012,0.000789012,0.000789012
6,8331.17,1.35028,1.85585,1.55308,0.56524,0.4928,0.54226,0.31625,1.47827,1.82186,1.67958,0.000759015,0.000759015,0.000759015
7,15220.1,1.31884,1.76353,1.52499,0.59549,0.58294,0.63696,0.39497,1.36466,1.51523,1.56865,0.000729018,0.000729018,0.000729018
8,29608.7,1.29169,1.69874,1.51585,0.63005,0.62095,0.70067,0.42028,1.41167,1.43794,1.61022,0.000699021,0.000699021,0.000699021
9,38113.8,1.26434,1.61942,1.49072,0.64188,0.5883,0.65954,0.40838,1.42146,1.5412,1.62109,0.000669024,0.000669024,0.000669024
10,39291.4,1.24073,1.54679,1.46285,0.61656,0.73546,0.72047,0.44392,1.40656,1.31901,1.56836,0.000639027,0.000639027,0.000639027
11,40593.1,1.23236,1.46239,1.44692,0.71786,0.73309,0.75278,0.45749,1.36607,1.32014,1.55328,0.00060903,0.00060903,0.00060903
12,41763,1.20025,1.41917,1.44108,0.68465,0.71138,0.72785,0.48044,1.30081,1.22175,1.5147,0.000579033,0.000579033,0.000579033
13,42952.2,1.16448,1.32844,1.40656,0.65335,0.67833,0.6996,0.4618,1.27145,1.15162,1.45652,0.000549036,0.000549036,0.000549036
14,44119.8,1.15238,1.31836,1.40734,0.77245,0.69811,0.75903,0.49745,1.32175,1.1393,1.53652,0.000519039,0.000519039,0.000519039
15,45427.6,1.10396,1.26701,1.36661,0.71414,0.74114,0.77075,0.51484,1.28618,1.12765,1.50444,0.000489042,0.000489042,0.000489042
16,46796.8,1.12431,1.26327,1.38314,0.71103,0.72214,0.74473,0.45728,1.45502,1.08914,1.57652,0.000459045,0.000459045,0.000459045
17,48461.3,1.11111,1.21172,1.37013,0.71804,0.65697,0.73569,0.51938,1.22803,1.11269,1.44966,0.000429048,0.000429048,0.000429048
18,49941.4,1.07353,1.16367,1.34064,0.76442,0.74518,0.81567,0.56276,1.21049,0.9899,1.42116,0.000399051,0.000399051,0.000399051
19,51352.1,1.08335,1.13339,1.33739,0.75529,0.69453,0.76943,0.53281,1.15188,1.02625,1.38862,0.000369054,0.000369054,0.000369054
20,52902.5,1.06515,1.10442,1.32352,0.76258,0.67528,0.76551,0.54146,1.18383,1.03471,1.41806,0.000339057,0.000339057,0.000339057
21,55580.4,1.0021,0.98147,1.34774,0.84578,0.76357,0.82704,0.59415,1.08662,0.90961,1.32993,0.00030906,0.00030906,0.00030906
22,56795.1,0.96935,0.911,1.32445,0.83798,0.75966,0.82945,0.56971,1.22967,0.9111,1.43389,0.000279063,0.000279063,0.000279063
23,58013.4,0.94353,0.84728,1.30033,0.81263,0.76983,0.82728,0.59237,1.17682,0.91683,1.38769,0.000249066,0.000249066,0.000249066
24,59616.7,0.90434,0.814,1.27132,0.90524,0.77568,0.83124,0.59267,1.19979,0.8804,1.37698,0.000219069,0.000219069,0.000219069
25,61386.7,0.90047,0.78624,1.25462,0.87112,0.71565,0.83084,0.60184,1.16653,0.86154,1.36662,0.000189072,0.000189072,0.000189072
26,62584,0.88451,0.74883,1.25945,0.83858,0.75808,0.82143,0.59319,1.16026,0.88641,1.36121,0.000159075,0.000159075,0.000159075
27,64096.8,0.85831,0.7041,1.23464,0.89424,0.74398,0.85324,0.60514,1.17674,0.84866,1.36867,0.000129078,0.000129078,0.000129078
28,65690.9,0.84414,0.71072,1.23301,0.83665,0.78603,0.85349,0.61977,1.12582,0.83495,1.34209,9.9081e-05,9.9081e-05,9.9081e-05
29,66852.2,0.82519,0.68976,1.20968,0.88323,0.74801,0.84447,0.61678,1.09969,0.82885,1.32962,6.9084e-05,6.9084e-05,6.9084e-05
30,69606.7,0.82078,0.6705,1.20439,0.86634,0.77833,0.85326,0.62613,1.08848,0.81118,1.31518,3.9087e-05,3.9087e-05,3.9087e-05
